country,indicator,period,value,unit,source,status
AUS,budget_net_debt,2017-18,341961.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2017-18,18.5,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2017-18,13135.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2017-18,0.7,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2018-19,373566.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2018-19,19.1,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2018-19,15149.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2018-19,0.8,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2019-20,491217.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2019-20,24.7,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2019-20,13280.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2019-20,0.7,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2020-21,592221.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2020-21,28.3,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2020-21,14290.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2020-21,0.7,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2021-22,515650.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2021-22,22.1,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2021-22,14977.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2021-22,0.6,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2022-23,491013.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2022-23,19.1,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2022-23,11852.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2022-23,0.5,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2023-24,491469.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2023-24,18.3,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2023-24,12264.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2023-24,0.5,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2024-25,532346.0,AUD million,budget26,Budget historical actual
AUS,budget_net_debt_gdp,2024-25,19.2,% GDP,budget26,Budget historical actual
AUS,budget_net_interest,2024-25,13725.0,AUD million,budget26,Budget historical actual
AUS,budget_net_interest_gdp,2024-25,0.5,% GDP,budget26,Budget historical actual
AUS,budget_net_debt,2025-26,555999.0,AUD million,budget26,Budget estimate
AUS,budget_net_debt_gdp,2025-26,18.8,% GDP,budget26,Budget estimate
AUS,budget_net_interest,2025-26,17729.0,AUD million,budget26,Budget estimate
AUS,budget_net_interest_gdp,2025-26,0.6,% GDP,budget26,Budget estimate
AUS,budget_net_debt,2026-27,616621.0,AUD million,budget26,Budget estimate
AUS,budget_net_debt_gdp,2026-27,19.9,% GDP,budget26,Budget estimate
AUS,budget_net_interest,2026-27,19930.0,AUD million,budget26,Budget estimate
AUS,budget_net_interest_gdp,2026-27,0.6,% GDP,budget26,Budget estimate
AUS,budget_net_debt,2027-28,668765.0,AUD million,budget26,Budget estimate
AUS,budget_net_debt_gdp,2027-28,21.0,% GDP,budget26,Budget estimate
AUS,budget_net_interest,2027-28,26668.0,AUD million,budget26,Budget estimate
AUS,budget_net_interest_gdp,2027-28,0.8,% GDP,budget26,Budget estimate
AUS,budget_net_debt,2028-29,725518.0,AUD million,budget26,Budget estimate
AUS,budget_net_debt_gdp,2028-29,21.8,% GDP,budget26,Budget estimate
AUS,budget_net_interest,2028-29,27970.0,AUD million,budget26,Budget estimate
AUS,budget_net_interest_gdp,2028-29,0.8,% GDP,budget26,Budget estimate
AUS,budget_net_debt,2029-30,767803.0,AUD million,budget26,Budget estimate
AUS,budget_net_debt_gdp,2029-30,21.9,% GDP,budget26,Budget estimate
AUS,budget_net_interest,2029-30,31726.0,AUD million,budget26,Budget estimate
AUS,budget_net_interest_gdp,2029-30,0.9,% GDP,budget26,Budget estimate
