id,name,chamber,party,state,electorate,occupation,sector_hint,source
219646,"McCORMACK, the Hon. Michael Francis",Member,The Nationals,NSW,Riverina,"Editor of the Daily Advertiser, Wagga Wagga (NSW) from 1992 to 2002.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/219646
219646,"McCORMACK, the Hon. Michael Francis",Member,The Nationals,NSW,Riverina,"Acting Editor for the Daily Advertiser, Wagga Wagga (NSW) from 1991 to 1992.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/219646
219646,"McCORMACK, the Hon. Michael Francis",Member,The Nationals,NSW,Riverina,"Sub-editor for the Daily Advertiser, Wagga Wagga (NSW) from 1988 to 1991.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/219646
219646,"McCORMACK, the Hon. Michael Francis",Member,The Nationals,NSW,Riverina,"Journalist and reporter for the Daily Advertiser, Wagga Wagga (NSW) from 1981 to 1988.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/219646
123072,"McDONALD, Susan Eileen",Senator,The Nationals,Qld,,Business Manager from 2014 to 2019.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/123072
123072,"McDONALD, Susan Eileen",Senator,The Nationals,Qld,,Chief of Staff in the Queensland Government from 2012 to 2014.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/123072
217241,"McGRATH, the Hon. James",Senator,Liberal Party of Australia,Qld,,"Campaign Director for the Country Liberal Party (NT), 2012.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/217241
217241,"McGRATH, the Hon. James",Senator,Liberal Party of Australia,Qld,,Self-employed contractor from 2012 to 2014.,Private enterprise (explicit role),https://handbook.aph.gov.au/parliamentarians/217241
217241,"McGRATH, the Hon. James",Senator,Liberal Party of Australia,Qld,,Campaign Director for the Liberal National Party (Qld) from 2010 to 2012.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/217241
217241,"McGRATH, the Hon. James",Senator,Liberal Party of Australia,Qld,,Deputy Director of the Liberal Party of Australia from 2009 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/217241
217241,"McGRATH, the Hon. James",Senator,Liberal Party of Australia,Qld,,"National Presidential Campaign Director for the Maldivian Democratic Party, 2008.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/217241
