id,name,chamber,party,state,electorate,occupation,sector_hint,source
BFQ,"POCOCK, Dr Barbara Ann AM",Senator,Australian Greens,SA,,Economist with the Reserve Bank of Australia from 1979 to 1981.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BFQ
BFQ,"POCOCK, Dr Barbara Ann AM",Senator,Australian Greens,SA,,Farm Worker and Shearing Shed Rouseabout from 1973 to 1974.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BFQ
256136,"POCOCK, David Willmer",Senator,Independent,ACT,,Project Director from July 2020 to December 2021.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/256136
256136,"POCOCK, David Willmer",Senator,Independent,ACT,,Professional athlete from December 2005 to March 2020.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/256136
E5X,"POLLEY, Helen Beatrice",Senator,Australian Labor Party,Tas,,"Adviser to the Premier, the Hon. P Lennon, MHA (Tas.), 2004.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/E5X
E5X,"POLLEY, Helen Beatrice",Senator,Australian Labor Party,Tas,,"Adviser to the Premier, the Hon. J Bacon, MHA (Tas.) from 1998 to 2004.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/E5X
249308,"PRICE, the Hon. Melissa Lee",Member,Liberal Party of Australia,WA,Durack,Vice-President of Legal and Business Development for Crosslands Resources Ltd. from 2008 to 2012.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249308
249308,"PRICE, the Hon. Melissa Lee",Member,Liberal Party of Australia,WA,Durack,General Counsel and Business Development Manager at CBH Group from 2002 to 2008.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249308
249308,"PRICE, the Hon. Melissa Lee",Member,Liberal Party of Australia,WA,Durack,Solicitor in private practice from 1997 to 2002.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249308
249308,"PRICE, the Hon. Melissa Lee",Member,Liberal Party of Australia,WA,Durack,Non-Executive Director of the Cancer Council (WA) to 2016.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249308
249308,"PRICE, the Hon. Melissa Lee",Member,Liberal Party of Australia,WA,Durack,Non-Executive Director of the BrightSpark Foundation to 2016.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249308
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Partner at PwC from 2019 to 2021.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,State Secretary and Campaign Director for Victorian Labor from 2016 to 2019.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Director of Research and Tactics for Victorian Labor from 2015 to 2016.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Advisor and Electorate Officer for the Hon Senator Stephen Conroy from 2009 to 2015.,Political employment,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Policy Advisor for the National Association of Forest Industries from 2007 to 2009.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Call centre phone operator from 2005 to 2007.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,"Childcare worker, 2005.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Factory labourer from 2004 to 2005.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
300122,"RAE, the Hon. Samuel (Sam) Thomas",Member,Australian Labor Party,Vic,Hawke,Hospitality worker from 2002 to 2004.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300122
316547,"REBELLO, Leon",Member,Liberal Party of Australia,Qld,McPherson,Solicitor,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/316547
300126,"REID, Gordon James",Member,Australian Labor Party,NSW,Robertson,Not recorded,Unknown,https://handbook.aph.gov.au/parliamentarians/300126
298840,"REPACHOLI, Dan",Member,Australian Labor Party,NSW,Hunter,Manager from December 2017 to December 2021.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298840
298840,"REPACHOLI, Dan",Member,Australian Labor Party,NSW,Hunter,Coal miner from 2009 to December 2017.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298840
