country,indicator,period,value,unit,source,status,note
AUS,ndis_cost,2019-20,17.6,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2020-21,23.3,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2021-22,28.6,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2022-23,35.1,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2023-24,41.8,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_cost,2024-25,46.3,AUD billion nominal accrual,ndis_a,official observation,
AUS,ndis_old_projection,2025-26,50.7,AUD billion nominal accrual,ndis_a,superseded projection,June 2025 AFSR vintage; not current policy baseline
AUS,ndis_old_projection,2026-27,54,AUD billion nominal accrual,ndis_a,superseded projection,June 2025 AFSR vintage; not current policy baseline
AUS,ndis_old_projection,2027-28,58.1,AUD billion nominal accrual,ndis_a,superseded projection,June 2025 AFSR vintage; not current policy baseline
AUS,ndis_old_projection,2028-29,62.5,AUD billion nominal accrual,ndis_a,superseded projection,June 2025 AFSR vintage; not current policy baseline
USA,emergency_cash,2013,50,% of adults,fed,official observation,
USA,emergency_cash,2014,53,% of adults,fed,official observation,
USA,emergency_cash,2015,54,% of adults,fed,official observation,
USA,emergency_cash,2016,56,% of adults,fed,official observation,
USA,emergency_cash,2017,59,% of adults,fed,official observation,
USA,emergency_cash,2018,61,% of adults,fed,official observation,
USA,emergency_cash,2019,63,% of adults,fed,official observation,
USA,emergency_cash,2020,64,% of adults,fed,official observation,
USA,emergency_cash,2021,68,% of adults,fed,official observation,
USA,emergency_cash,2022,63,% of adults,fed,official observation,
USA,emergency_cash,2023,63,% of adults,fed,official observation,
USA,emergency_cash,2024,63,% of adults,fed,official observation,
USA,emergency_cash,2025,63,% of adults,fed,official observation,
